Alpha,T1_Re0.100_M0.00_N9.0, , 
        -13.5,   -0.06905738, , 
          -13,   -0.07248459, , 
        -12.5,   -0.07632736, , 
          -12,   -0.06524141, , 
        -11.5,   -0.06651638, , 
          -11,   -0.05245567, , 
        -10.5,    0.02184543, , 
          -10,    0.05523768, , 
         -9.5,     0.1224424, , 
         -8.5,    -0.3943547, , 
           -8,    -0.4008573, , 
         -7.5,    -0.3659931, , 
           -7,    -0.3588679, , 
         -6.5,    -0.3974561, , 
           -6,    -0.3493118, , 
         -5.5,    -0.3684886, , 
           -5,    -0.4297154, , 
         -4.5,    -0.3885864, , 
           -4,    -0.3928279, , 
         -3.5,    -0.4237533, , 
           -3,    -0.3447408, , 
         -2.5,    -0.2704725, , 
           -2,    -0.1770418, , 
         -1.5,    -0.1435333, , 
           -1,    -0.0942763, , 
         -0.5,   -0.04770356, , 
            0,   0.002405874, , 
          0.5,    0.05398971, , 
            1,     0.1078062, , 
          1.5,     0.1624755, , 
            2,     0.2183124, , 
          2.5,     0.2722593, , 
            3,      0.323128, , 
          3.5,     0.3732884, , 
            4,     0.4685354, , 
          4.5,     0.5780903, , 
            5,     0.6211511, , 
          5.5,     0.6630755, , 
            6,     0.7039296, , 
          6.5,     0.7438836, , 
            7,     0.7832596, , 
          7.5,     0.8175509, , 
            8,     0.8340336, , 
          8.5,      0.847777, , 
            9,     0.8731686, , 
         10.5,     0.5755545, , 
           11,      0.618132, , 
         11.5,     0.6672137, , 
           12,     0.6310004, , 
         12.5,     0.6833068, , 
           13,     0.6660458, , 
         13.5,     0.7276771, , 
           14,     0.7154204, , 
         14.5,     0.7288505, , 
           15,     0.7707846, , 
         15.5,     0.8388615, , 
           16,      1.063533, , 
         16.5,     0.9952793, , 
           17,      1.052833, , 
         17.5,      1.057223, , 
           18,      1.078777, , 
         18.5,      1.134372, , 
           19,      1.184616, , 
         19.5,      1.174645, , 
           20,      1.171297, , 

