Alpha,T1_Re0.100_M0.00_N9.0, , 
          -15,    -0.5707375, , 
        -14.5,    -0.5874031, , 
          -14,    -0.5835508, , 
        -13.5,    -0.5653395, , 
        -12.5,    -0.7235061, , 
          -12,    -0.7915913, , 
        -11.5,    -0.8253079, , 
          -11,    -0.7902531, , 
        -10.5,    -0.7456649, , 
          -10,    -0.6916657, , 
         -9.5,    -0.6390516, , 
           -9,    -0.5853966, , 
         -8.5,    -0.5309644, , 
           -8,    -0.4741988, , 
         -7.5,    -0.4167403, , 
           -7,    -0.3593761, , 
         -6.5,    -0.3046236, , 
           -6,    -0.2531967, , 
         -5.5,    -0.2034627, , 
           -5,    -0.1566581, , 
         -4.5,     -0.111327, , 
           -4,   -0.06972612, , 
         -3.5,   -0.02544201, , 
           -3,    0.01366105, , 
         -2.5,    0.05365997, , 
           -2,    0.09569812, , 
         -1.5,     0.1391549, , 
           -1,     0.1815062, , 
         -0.5,     0.2898747, , 
            0,     0.3901384, , 
          0.5,     0.4821875, , 
            1,     0.5534275, , 
          1.5,     0.5966377, , 
            2,     0.7309483, , 
          2.5,     0.8463121, , 
            3,     0.8923477, , 
          3.5,     0.9309223, , 
            4,     0.9729387, , 
          4.5,      1.024094, , 
            5,      1.085362, , 
          5.5,       1.14499, , 
            6,      1.210253, , 
          6.5,      1.263966, , 
            7,      1.283164, , 
          7.5,       1.29842, , 
            8,      1.309068, , 
          8.5,      1.294127, , 
            9,      1.258327, , 
          9.5,      1.205641, , 
           10,       1.02728, , 
         10.5,     0.9482223, , 
           11,     0.8461601, , 
         11.5,     0.8539543, , 
           12,     0.8902945, , 
         12.5,     0.8589496, , 
           13,     0.8909658, , 
         13.5,      0.877125, , 
           14,     0.9029366, , 
         14.5,     0.9052797, , 
           15,     0.9103845, , 
         15.5,     0.9332467, , 
           16,      0.946097, , 
         16.5,     0.9481243, , 
           17,     0.9632133, , 
         17.5,      0.987144, , 
           18,     0.9936876, , 
         18.5,      1.001063, , 
           19,      1.017814, , 
         19.5,      1.038507, , 
           20,      1.040554, , 

