Alpha,T1_Re0.100_M0.00_N9.0, , 
          -15,      -0.56902, , 
        -14.5,    -0.5912772, , 
          -14,    -0.5777991, , 
        -13.5,     -0.562077, , 
          -13,    -0.6117994, , 
        -12.5,    -0.5645169, , 
          -12,    -0.6378828, , 
        -11.5,    -0.5764295, , 
          -11,    -0.6827373, , 
        -10.5,    -0.6192902, , 
          -10,    -0.5619703, , 
         -9.5,    -0.5039524, , 
           -9,    -0.4439389, , 
         -8.5,    -0.3839335, , 
           -8,    -0.3228339, , 
         -7.5,    -0.2642424, , 
           -7,    -0.2085556, , 
         -6.5,    -0.1579415, , 
           -6,    -0.1095292, , 
         -5.5,    -0.0653421, , 
         -4.5,    0.01631524, , 
           -4,     0.0549528, , 
           -3,      0.132548, , 
         -2.5,     0.1718157, , 
           -2,     0.2109863, , 
         -1.5,     0.2487136, , 
           -1,     0.3044187, , 
         -0.5,     0.4496129, , 
            0,     0.5490157, , 
          0.5,     0.6366119, , 
            1,     0.6656405, , 
          1.5,     0.7618959, , 
            2,     0.8762944, , 
          2.5,     0.9389236, , 
            3,     0.9819591, , 
          3.5,      1.027671, , 
            4,      1.081401, , 
          4.5,        1.1477, , 
            5,      1.209487, , 
          5.5,      1.284966, , 
            6,      1.348263, , 
          6.5,      1.357406, , 
            7,       1.37881, , 
          7.5,      1.384854, , 
            8,      1.353416, , 
          8.5,      1.314701, , 
            9,      1.264159, , 
          9.5,      1.077412, , 
           10,      1.004115, , 
         10.5,     0.9046624, , 
           11,     0.9200167, , 
         11.5,      0.942767, , 
           12,     0.9243878, , 
         12.5,     0.9691221, , 
           13,     0.9425351, , 
         13.5,     0.9783711, , 
           14,     0.9672003, , 
         14.5,     0.9792874, , 
           15,       1.00789, , 
         15.5,      1.008499, , 
           16,      1.015965, , 
         16.5,      1.031442, , 
         17.5,      1.057084, , 
           18,      1.067961, , 
         18.5,        1.0853, , 
           19,      1.101656, , 
         19.5,      1.105901, , 
           20,      1.118453, , 

