Alpha,T1_Re0.100_M0.00_N9.0, , 
          -14,   -0.08089468, , 
        -13.5,   -0.06191105, , 
          -13,   -0.05431141, , 
        -12.5,   -0.05094886, , 
          -12,   -0.05194333, , 
        -11.5,    0.01971633, , 
          -11,    0.09859141, , 
        -10.5,     0.1257543, , 
          -10,     0.1470503, , 
         -9.5,     0.1625601, , 
           -9,     0.1644788, , 
         -8.5,     0.1964832, , 
           -8,     0.2088055, , 
         -7.5,     0.2282234, , 
           -7,     0.2479868, , 
         -6.5,     0.2461599, , 
           -6,     0.2823999, , 
           -5,     0.3153474, , 
         -4.5,     0.3096163, , 
           -4,     0.3417032, , 
         -3.5,     0.3362438, , 
           -3,     0.3622383, , 
         -2.5,      0.354144, , 
           -2,      0.348309, , 
         -1.5,     0.3327697, , 
           -1,     0.3451487, , 
         -0.5,     0.3007867, , 
            0,     0.2516698, , 
          0.5,      0.129287, , 
            1,     0.0218635, , 
            2,     0.1973141, , 
            3,      0.300871, , 
          3.5,     0.3525869, , 
            4,     0.4032024, , 
          4.5,     0.4531469, , 
            5,     0.5005357, , 
          5.5,     0.5442837, , 
            6,     0.5879922, , 
          6.5,     0.6264425, , 
          7.5,     0.7111193, , 
            8,     0.7040539, , 
          9.5,     0.4745117, , 
           10,     0.4965738, , 
         10.5,      0.531501, , 
           11,     0.5722522, , 
         11.5,     0.6173762, , 
           12,      0.666161, , 
         12.5,     0.5964337, , 
           13,     0.6260722, , 
         13.5,     0.6604191, , 
           14,     0.6991705, , 
         14.5,     0.7404827, , 
           15,     0.7848202, , 
         15.5,     0.7089411, , 
           16,     0.7428122, , 
         16.5,     0.8004184, , 
           17,     0.7631079, , 
         17.5,     0.8174312, , 
           18,     0.8069963, , 
         18.5,     0.8264223, , 

