Alpha,T1_Re0.100_M0.00_N9.0, , 
        -18.5,    -0.2082761, , 
          -18,    -0.1931652, , 
        -17.5,    -0.1876369, , 
          -17,    -0.1623427, , 
        -16.5,    -0.1447878, , 
          -16,    -0.1390709, , 
        -15.5,    -0.1228758, , 
          -15,    -0.1038824, , 
        -14.5,   -0.09298387, , 
          -14,   -0.09546916, , 
        -13.5,   -0.08362422, , 
          -13,   -0.07517822, , 
        -12.5,   -0.07924054, , 
          -12,   -0.08343629, , 
        -11.5,   -0.07957274, , 
          -11,   -0.08534076, , 
        -10.5,    -0.1087439, , 
          -10,   -0.01141629, , 
         -9.5,    0.05330777, , 
           -9,     0.0977264, , 
         -8.5,     0.1094777, , 
           -8,     0.1525086, , 
         -6.5,    -0.4458994, , 
           -6,    -0.4826408, , 
         -5.5,    -0.5214579, , 
           -5,     -0.501829, , 
           -4,     -0.531697, , 
         -3.5,    -0.5096949, , 
           -3,    -0.4776735, , 
         -2.5,    -0.4297779, , 
           -2,    -0.3331863, , 
         -1.5,    -0.2396315, , 
           -1,     -0.151069, , 
         -0.5,   -0.06313911, , 
            0,    0.01612427, , 
          0.5,    0.08251027, , 
            1,     0.1334664, , 
          1.5,      0.221673, , 
            2,     0.3489975, , 
          2.5,     0.4238444, , 
            3,     0.4706495, , 
          3.5,     0.5180447, , 
            4,     0.5640553, , 
          4.5,     0.6096867, , 
            5,     0.6547828, , 
          5.5,     0.6991562, , 
            6,     0.7423278, , 
          6.5,     0.7838426, , 
            7,     0.8233806, , 
          7.5,     0.8607438, , 
            8,     0.8962439, , 
          8.5,     0.9249754, , 
            9,     0.9781172, , 
          9.5,      1.014027, , 
           10,      1.053885, , 
         10.5,      1.102889, , 
           11,      1.146794, , 
           12,      1.158486, , 
         12.5,      1.135423, , 
           13,      1.117993, , 
         13.5,      1.112149, , 
           14,      1.118829, , 
         14.5,      1.153333, , 
           15,      1.202566, , 
         15.5,      1.193066, , 
           16,      1.189092, , 
         16.5,      1.191375, , 
           17,      1.180912, , 
         17.5,       1.13964, , 
           18,      1.082991, , 
         18.5,     0.8617639, , 
         19.5,     0.7786229, , 
           20,     0.8095234, , 

