Alpha,T1_Re0.100_M0.00_N9.0, , 
          -15,    -0.5397591, , 
        -14.5,    -0.5848337, , 
          -14,    -0.5495639, , 
        -13.5,    -0.5455963, , 
          -13,    -0.5826323, , 
        -12.5,    -0.5560684, , 
          -12,    -0.5692764, , 
        -11.5,    -0.5654051, , 
          -11,    -0.8659806, , 
        -10.5,    -0.8452873, , 
          -10,    -0.8074125, , 
         -9.5,    -0.7629884, , 
           -9,    -0.7166228, , 
         -8.5,    -0.6677096, , 
           -8,    -0.6182081, , 
         -7.5,    -0.5668613, , 
           -7,    -0.5142984, , 
         -6.5,    -0.4615958, , 
           -6,    -0.4092957, , 
         -5.5,    -0.3582922, , 
           -5,    -0.3083067, , 
         -4.5,    -0.2608753, , 
           -4,    -0.2150762, , 
         -3.5,    -0.1704289, , 
           -3,    -0.1295285, , 
         -2.5,   -0.08709382, , 
           -2,   -0.04416269, , 
         -1.5,  0.0007741532, , 
           -1,    0.04074459, , 
         -0.5,     0.1123716, , 
            0,     0.2063122, , 
          0.5,       0.31694, , 
            1,     0.4217835, , 
          1.5,     0.4940626, , 
            2,     0.5630079, , 
          2.5,     0.7208769, , 
            3,     0.7884675, , 
          3.5,     0.8249725, , 
            4,     0.8578243, , 
          4.5,     0.8950601, , 
            5,     0.9396796, , 
          5.5,      0.988907, , 
            6,      1.047548, , 
          6.5,      1.096405, , 
            7,      1.141088, , 
          7.5,      1.183053, , 
            8,      1.190203, , 
          8.5,      1.202639, , 
            9,      1.205864, , 
          9.5,      1.183099, , 
           10,      1.129006, , 
         10.5,     0.8130886, , 
           11,     0.7857738, , 
         11.5,     0.8038599, , 
           12,     0.7775373, , 
           13,     0.7845126, , 
         13.5,     0.8036548, , 
           14,     0.8109907, , 
         14.5,     0.8175767, , 
           15,     0.8435719, , 
         15.5,      0.833167, , 
           16,      0.851545, , 
         16.5,     0.8784132, , 
           17,     0.8705677, , 
         17.5,     0.8850322, , 
           18,      0.905152, , 
         18.5,     0.9229333, , 
           19,     0.9248354, , 
         19.5,     0.9408087, , 
           20,      0.967466, , 

